X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
128,20,7-8 days,3,Female,35-44,80309,No,Live in area,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$20-$49,$200-$499,NA,$20-$49,Four nights,Boulder Resident,NA
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
196,12,3-4 days,4,Male,55-64,93004,No,0,$21-$49,"$1,000-$1,499",$21-$49,$1 - $20,0,"$3,000-$4,000",$20-$49,$20-$49,$1 - $20,$20-$49,Day trip,NA,125
158,20,1-2 days,3,Female,55-64,80305,No,Home is here,$21-$49,0,0,$21-$49,$1 - $20,$1 - $20,$20-$49,$1 - $20,0,$500-$999,Two nights,NA,175
181,3-4 times,5-6 days,5,Female,25-34,80303,Yes,Didn't extend stay,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$200-$499,NA,$50-$99,$20-$49,Local resident,"Friends, family or no expense",500
197,NA,6,4,Female,45-54,80303,NA,NA,$21-$49,$50-$99,$21-$49,$21-$49,$100-$199,$1 - $20,$100-$199,$20-$49,$500-$999,$50-$99,NA,Hotel or motel,125
176,1-2 times,1-2 days,2,Male,35-44,80304,No,I live here,$21-$49,$21-$49,$21-$49,"$2,000-$3,000",$200-$499,$500-$999,"$1,000-$1,999",$200-$499,$50-$99,$20-$49,Live in Boulder,NA,200
48,5-6 times,0,0,Male,55-64,80306,NA,Live in area,0,0,0,0,0,0,$20-$49,$50-$99,0,$200-$499,One night,Hotel or motel,240
90,5-6 times,3-4 days,2,Female,45-54,93111,Yes,Home is here,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,Local,Home,0
254,20,1-2 days,11,Female,55-64,93454,Yes,-,$200-$499,$500-$999,$100-$199,$21-$49,$500-$999,$21-$49,$50-$99,0,0,$20-$49,Day trip,"Friends, family or no expense",280
255,20,1-2 days,4,Male,55-64,93111,NA,I live here,0,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,280
246,1,12,5,Female,18-24,12345,NA,A few hours,$100-$199,0,$200-$499,0,$21-$49,$500-$999,NA,$500-$999,$100-$199,NA,One night,Hotel or motel,500
270,20,1-2 days,3,Male,35-44,93111,No,Didn't extend stay,$500-$999,$50-$99,$50-$99,$1 - $20,"$1,000-$1,499","$5,000.00",0,$20-$49,$50-$99,NA,Live in Boulder,Home,175
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,$200-$499,NA,$200-$499,$20-$49,I live here,Boulder Resident,NA
69,20,1-2 days,3,Female,55-64,80306,NA,Live in area,$1 - $20,0,0,$1 - $20,$1 - $20,"$5,000.00",$200-$499,$500-$999,$500-$999,$500-$999,Local resident,"Friends, family or no expense",0
82,1-2 times,3-4 days,10,Female,55-64,80306,No,1 day,$1 - $20,$21-$49,$1 - $20,$21-$49,$500-$999,"$5,000.00",$20-$49,$100-$199,0,$20-$49,Multiple day trips,Home,3
222,45,12,3,Female,65-74,80309,No,-,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,0,$1 - $20,$20-$49,0,Three nights,NA,NA
184,5-6 times,1-2 days,4,Female,25-34,80302,No,1 day,$21-$49,NA,$21-$49,$21-$49,$500-$999,$100-$199,0,0,$20-$49,$20-$49,Live in Boulder,NA,NA
143,12,2,2,Male,55-64,80303,NA,2 days,$21-$49,0,0,$1 - $20,0,"$5,000.00",0,$200-$499,$1 - $20,$500-$999,Day trip,Boulder Resident,175
3,1,0,0,Female,65-74,80303,No,Zero,0,0,0,0,0,0,$100-$199,NA,0,$20-$49,Multiple day trips,"Friends, family or no expense",0
2,1,7-8 days,4,Prefer not to say,35-44,80309,NA,-,0,0,0,0,0,0,$100-$199,$100-$199,$1 - $20,$50-$99,Three nights,Home,125
69,20,1-2 days,3,Female,55-64,80306,NA,Live in area,$1 - $20,0,0,$1 - $20,$1 - $20,"$5,000.00",$200-$499,$500-$999,$500-$999,$500-$999,Local resident,"Friends, family or no expense",0
242,20,5-6 days,6,Male,45-54,80303,NA,Live in area,$500-$999,$500-$999,$50-$99,$100-$199,0,0,NA,$1 - $20,NA,0,One night,NA,280
160,20,1-2 days,5,Female,25-34,93113,No,I live here,$21-$49,$1 - $20,$1 - $20,$21-$49,$50-$99,0,"$1,000-$1,999",$50-$99,$200-$499,0,Local resident,Boulder Resident,280
163,20,1-2 days,3,Male,25-34,80303,NA,0,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$50-$99,$1 - $20,$1 - $20,0,NA,Boulder Resident,175
47,5-6 times,0,4,Female,45-54,80309,No,Live in area,0,0,0,0,0,0,$1 - $20,$1 - $20,NA,$200-$499,NA,NA,3
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Live in area,$21-$49,0,0,$1 - $20,0,$50-$99,$20-$49,$50-$99,$1 - $20,$50-$99,Local resident,Home,200
115,3-4 times,1-2 days,3,Female,25-34,80303,Yes,2 days,$100-$199,0,0,$1 - $20,0,0,$100-$199,$500-$999,$200-$499,$200-$499,Four nights,"Friends, family or no expense",0
204,20,1-2 days,5,Female,18-24,80303,No,2 days,$50-$99,0,0,$1 - $20,0,$200-$499,$200-$499,$200-$499,$1 - $20,$500-$999,Three nights,Boulder Resident,500
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,Live in area,"$1,000.00",$500-$999,$21-$49,$100-$199,$100-$199,NA,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",240
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
206,20,5-6 days,2,Female,Prefer not to say,80309,NA,A few hours,$50-$99,NA,$1 - $20,$1 - $20,"$1,000-$1,499",$21-$49,$20-$49,$1 - $20,$500-$999,$50-$99,Day trip,"Friends, family or no expense",240
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,Home is here,$1 - $20,0,0,0,0,0,NA,NA,$500-$999,$200-$499,Resident,Boulder Resident,NA
55,1,1-2 days,2,Female,25-34,80305,No,-,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$500-$999,NA,$500-$999,Local,"Friends, family or no expense",N/A
87,3-4 times,5-6 days,5,Female,55-64,80309,No,NA,$1 - $20,0,$100-$199,$1 - $20,$21-$49,0,$20-$49,$1 - $20,$500-$999,$500-$999,Four nights,"Friends, family or no expense",175
39,3-4 times,1-2 days,2,Female,75-84,80306,Yes,1 day,0,0,0,0,0,0,0,$50-$99,$20-$49,$200-$499,NA,Home,280
270,20,1-2 days,3,Male,35-44,93111,No,Didn't extend stay,$500-$999,$50-$99,$50-$99,$1 - $20,"$1,000-$1,499","$5,000.00",0,$20-$49,$50-$99,NA,Live in Boulder,Home,175
101,20,1-2 days,1,Female,45-54,80304,No,Didn't extend stay,$100-$199,$21-$49,0,$1 - $20,0,$1 - $20,$20-$49,0,$200-$499,$500-$999,Live in Boulder,NA,175
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
257,20,3-4 days,5,Female,18-24,93013,No,0,$200-$499,$200-$499,$200-$499,$100-$199,$100-$199,"$5,000.00",$20-$49,$200-$499,$100-$199,$50-$99,Day trip,Boulder Resident,125
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
29,1-2 times,0,2,Female,55-64,80303,Yes,NA,0,0,0,0,0,0,$50-$99,0,$500-$999,$1 - $20,Four nights,NA,240
76,1-2 times,1-2 days,1,Female,18-24,91104,Yes,A few hours,$1 - $20,0,0,0,0,0,$200-$499,$20-$49,NA,$20-$49,Day trip,Home,280
34,1-2 times,1-2 days,1,Male,75-84,80306,No,-,0,0,0,0,0,0,0,$100-$199,NA,0,Four nights,Home,240
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,1 day,$50-$99,0,0,$21-$49,$1 - $20,0,$20-$49,$500-$999,$200-$499,NA,Resident,Hotel or motel,280
275,20,1-2 days,3,Female,65-74,80304,No,Live in area,"$1,000.00",$21-$49,$1 - $20,NA,$500-$999,NA,$50-$99,$500-$999,$20-$49,$20-$49,I live here,"Friends, family or no expense",NA
34,1-2 times,1-2 days,1,Male,75-84,80306,No,-,0,0,0,0,0,0,0,$100-$199,NA,0,Four nights,Home,240
39,3-4 times,1-2 days,2,Female,75-84,80306,Yes,1 day,0,0,0,0,0,0,0,$50-$99,$20-$49,$200-$499,NA,Home,280
51,5-6 times,0,2.5,Female,55-64,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$21-$49,$200-$499,$21-$49,"$1,000-$1,499","$3,000-$4,000",$50-$99,$100-$199,$500-$999,$200-$499,I live here,Boulder Resident,0
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
196,12,3-4 days,4,Male,55-64,93004,No,0,$21-$49,"$1,000-$1,499",$21-$49,$1 - $20,0,"$3,000-$4,000",$20-$49,$20-$49,$1 - $20,$20-$49,Day trip,NA,125
268,20,3-4 days,4,Female,35-44,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499","$1,000-$1,499",$21-$49,$1 - $20,$1 - $20,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",240
268,20,3-4 days,4,Female,35-44,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499","$1,000-$1,499",$21-$49,$1 - $20,$1 - $20,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",240
102,20,3-4 days,8,Female,35-44,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$100-$199,$100-$199,$1 - $20,Three nights,NA,500
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,$100-$199,0,$200-$499,NA,Day trip,Home,175
51,5-6 times,0,2.5,Female,55-64,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$21-$49,$200-$499,$21-$49,"$1,000-$1,499","$3,000-$4,000",$50-$99,$100-$199,$500-$999,$200-$499,I live here,Boulder Resident,0
238,5-6 times,7-8 days,4,Male,65-74,80306,No,NA,$50-$99,$50-$99,$50-$99,$50-$99,$50-$99,NA,$200-$499,$50-$99,$50-$99,$500-$999,I live here,Hotel or motel,NA
33,1-2 times,0,3,Female,65-74,80309,Yes,-,0,0,0,0,0,"$3,000-$4,000",$100-$199,$200-$499,NA,$1 - $20,Multiple day trips,"Friends, family or no expense",NA
149,20,1-2 days,2,Female,35-44,80303,Yes,NA,$21-$49,0,$21-$49,0,0,0,$1 - $20,$1 - $20,NA,$1 - $20,I live here,Boulder Resident,500
166,20,1-2 days,2,Female,55-64,80306,NA,Didn't extend stay,$21-$49,$100-$199,$100-$199,$100-$199,$500-$999,$200-$499,0,$1 - $20,$200-$499,$500-$999,Local,Home,175
239,0,3,5,Female,35-44,93111,No,Home is here,$50-$99,0,$1 - $20,$1 - $20,0,0,$200-$499,0,$100-$199,$1 - $20,Local,Home,3
231,3-4 times,3-4 days,3,Female,65-74,80304,NA,0,$50-$99,$100-$199,$1 - $20,NA,$50-$99,$50-$99,$50-$99,$1 - $20,$50-$99,$20-$49,I live here,Boulder Resident,NA
206,20,5-6 days,2,Female,Prefer not to say,80309,NA,A few hours,$50-$99,NA,$1 - $20,$1 - $20,"$1,000-$1,499",$21-$49,$20-$49,$1 - $20,$500-$999,$50-$99,Day trip,"Friends, family or no expense",240
166,20,1-2 days,2,Female,55-64,80306,NA,Didn't extend stay,$21-$49,$100-$199,$100-$199,$100-$199,$500-$999,$200-$499,0,$1 - $20,$200-$499,$500-$999,Local,Home,175
159,20,3-4 days,4,Female,55-64,93111,Yes,Didn't extend stay,$21-$49,0,0,$21-$49,0,0,0,$100-$199,$200-$499,$200-$499,Day trip,NA,240
18,20,1-2 days,2,Female,35-44,80303,NA,Live in area,0,0,$1 - $20,0,0,0,$1 - $20,$200-$499,NA,$20-$49,Multiple day trips,Home,500
180,3-4 times,3-4 days,4,Female,25-34,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$50-$99,0,$21-$49,$1 - $20,0,"$1,000-$1,999",0,NA,NA,Live in Boulder,Boulder Resident,N/A
209,20,20,4,Female,45-54,80303,Yes,Live in area,$50-$99,$200-$499,$100-$199,$200-$499,0,0,"$1,000-$1,999",$500-$999,NA,$200-$499,Four nights,"Friends, family or no expense",3
229,3-4 times,3-4 days,4,Female,55-64,80306,Yes,0,$50-$99,$200-$499,$21-$49,$1 - $20,$21-$49,0,0,$50-$99,NA,$500-$999,I live here,Hotel or motel,240
97,5-6 times,1-2 days,3,Female,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,$1 - $20,0,$1 - $20,$1 - $20,$50-$99,NA,$500-$999,I live here,NA,3
217,20,3-4 days,2,Female,45-54,93111,No,A few hours,$50-$99,0,$21-$49,$21-$49,$1 - $20,0,$20-$49,$500-$999,NA,0,Resident,NA,125
191,5-6 times,1-2 days,4,Female,35-44,80309,Yes,Zero,$21-$49,$200-$499,$1 - $20,$1 - $20,$50-$99,$200-$499,"$2,000-$4,999",0,$500-$999,$200-$499,NA,Boulder Resident,0
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
227,3-4 times,1-2 days,4,Male,25-34,80303,NA,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$200-$499,$100-$199,$1 - $20,$100-$199,$50-$99,Day trip,Boulder Resident,125
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,"$2,000-$3,000",$200-$499,$1 - $20,$200-$499,$21-$49,0,$20-$49,$1 - $20,0,One night,NA,240
56,20,1-2 days,2,Female,55-64,93111,No,Live in area,$1 - $20,0,0,0,0,$50-$99,$100-$199,NA,0,$50-$99,Local,Boulder Resident,125
245,1,1-2 days,2,Male,45-54,91320,Yes,A few hours,$200-$499,$1 - $20,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
201,20,5-6 days,6,Female,25-34,80305,No,Live in area,$50-$99,$50-$99,$1 - $20,$21-$49,$500-$999,$500-$999,$1 - $20,$1 - $20,$20-$49,$1 - $20,Live in Boulder,Hotel or motel,500
259,20,3-4 days,3,Male,35-44,80305,Yes,-,$100-$199,"$1,000-$1,499",$50-$99,$200-$499,$1 - $20,NA,$20-$49,NA,0,NA,Day trip,Boulder Resident,0
199,20,1-2 days,2,Male,55-64,93013,No,2 days,$50-$99,$500-$999,$21-$49,$100-$199,$21-$49,$1 - $20,$100-$199,NA,0,0,NA,Home,500
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
261,20,0,0,Male,35-44,80305,No,Home is here,$200-$499,"$1,000-$1,499",NA,"$2,000-$3,000","$1,000-$1,499","$5,000.00",0,0,0,$20-$49,I live here,"Friends, family or no expense",500
205,20,3-4 days,3,Female,35-44,80309,Yes,NA,$50-$99,0,$1 - $20,$1 - $20,0,$1 - $20,"$2,000-$4,999",$200-$499,0,$1 - $20,Live in Boulder,Home,3
93,5-6 times,1-2 days,4,Female,25-34,80306,NA,Zero,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,$500-$999,$200-$499,NA,Hotel or motel,NA
135,1-2 times,1-2 days,4,Male,18-24,80306,Yes,0,$200-$499,0,$200-$499,$21-$49,0,0,0,$50-$99,$100-$199,$200-$499,Resident,Boulder Resident,240
272,20,1-2 days,4,Female,65-74,80305,Yes,1 day,$200-$499,$21-$49,$1 - $20,$50-$99,$100-$199,$50-$99,$50-$99,$50-$99,$20-$49,$50-$99,Live in Boulder,Boulder Resident,125
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
178,3-4 times,3-4 days,2,Female,25-34,80304,Yes,NA,$21-$49,0,0,$1 - $20,$200-$499,$21-$49,NA,0,$500-$999,$500-$999,Local,Home,NA
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
63,20,3-4 days,2,Female,55-64,80306,NA,-,$1 - $20,0,$1 - $20,0,0,0,$1 - $20,$1 - $20,NA,0,Local,Home,175
280,1-2 times,0,4,Female,55-64,91335,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",NA,0,$100-$199,$100-$199,$21-$49,"$5,000.00",$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,"Friends, family or no expense",280
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
233,5-6 times,7-8 days,5,Female,35-44,80303,NA,NA,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Resident,"Friends, family or no expense",0
253,20,1-2 days,2,Male,25-34,93107,NA,1 day,0,$1 - $20,"$1,000-$1,499",$1 - $20,0,$50-$99,$1 - $20,0,$1 - $20,0,Day trip,Boulder Resident,3
114,1-2 times,1-2 days,5,Female,25-34,80304,Yes,0,$100-$199,0,0,$21-$49,0,0,NA,NA,NA,NA,I live here,Home,175
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
3,1,0,0,Female,65-74,80303,No,Zero,0,0,0,0,0,0,$100-$199,NA,0,$20-$49,Multiple day trips,"Friends, family or no expense",0
82,1-2 times,3-4 days,10,Female,55-64,80306,No,1 day,$1 - $20,$21-$49,$1 - $20,$21-$49,$500-$999,"$5,000.00",$20-$49,$100-$199,0,$20-$49,Multiple day trips,Home,3
29,1-2 times,0,2,Female,55-64,80303,Yes,NA,0,0,0,0,0,0,$50-$99,0,$500-$999,$1 - $20,Four nights,NA,240
134,1-2 times,3-4 days,2,Male,45-54,89135,No,NA,$200-$499,$200-$499,$100-$199,$100-$199,NA,"$5,000.00",0,$500-$999,NA,$20-$49,Day trip,Home,N/A
116,3-4 times,7-8 days,5,Female,45-54,93463,No,Zero,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,$200-$499,$100-$199,$200-$499,$50-$99,NA,Multiple day trips,NA,240
179,3-4 times,3-4 days,4,Female,65-74,80309,NA,1 day,$21-$49,0,0,$21-$49,$200-$499,$21-$49,$50-$99,$500-$999,$20-$49,$20-$49,One night,Hotel or motel,240
130,20,7-8 days,3,Female,35-44,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,0,$21-$49,$21-$49,0,$1 - $20,NA,0,$100-$199,$50-$99,NA,Boulder Resident,N/A
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,Home is here,$1 - $20,0,0,0,0,0,NA,NA,$500-$999,$200-$499,Resident,Boulder Resident,NA
39,3-4 times,1-2 days,2,Female,75-84,80306,Yes,1 day,0,0,0,0,0,0,0,$50-$99,$20-$49,$200-$499,NA,Home,280
53,12,1-2 days,2,Female,65-74,80309,Yes,NA,0,0,0,0,0,0,$50-$99,$500-$999,$200-$499,$200-$499,NA,Home,175
154,20,3-4 days,2,Female,75-84,80304,Yes,2 days,$21-$49,0,$100-$199,$1 - $20,0,0,NA,0,0,NA,Day trip,"Friends, family or no expense",125
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,Didn't extend stay,$1 - $20,"$2,000-$3,000",$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$100-$199,$20-$49,NA,Multiple day trips,Boulder Resident,3
26,1-2 times,0,0,Female,45-54,80303,Yes,Zero,0,0,0,0,0,0,$20-$49,$20-$49,NA,$500-$999,Resident,Hotel or motel,280
290,5-6 times,3-4 days,4,Female,55-64,80306,No,Didn't extend stay,$500-$999,$1 - $20,0,$500-$999,"$1,000-$1,499",$50-$99,$1 - $20,$20-$49,0,$20-$49,Live in Boulder,NA,240
100,20,3-4 days,2,Female,45-54,80306,NA,0,$100-$199,0,0,$1 - $20,0,0,NA,$200-$499,$1 - $20,$200-$499,Day trip,NA,3
134,1-2 times,3-4 days,2,Male,45-54,89135,No,NA,$200-$499,$200-$499,$100-$199,$100-$199,NA,"$5,000.00",0,$500-$999,NA,$20-$49,Day trip,Home,N/A
91,5-6 times,1-2 days,2,Female,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,0,$1 - $20,$200-$499,$50-$99,0,Three nights,Home,125
49,5-6 times,0,10,Female,55-64,80306,NA,Live in area,0,0,0,0,0,0,$100-$199,NA,$1 - $20,$1 - $20,I live here,NA,NA
6,20,1-2 days,1,Male,45-54,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$200-$499,$100-$199,$100-$199,$50-$99,Four nights,Boulder Resident,125
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
176,1-2 times,1-2 days,2,Male,35-44,80304,No,I live here,$21-$49,$21-$49,$21-$49,"$2,000-$3,000",$200-$499,$500-$999,"$1,000-$1,999",$200-$499,$50-$99,$20-$49,Live in Boulder,NA,200
134,1-2 times,3-4 days,2,Male,45-54,89135,No,NA,$200-$499,$200-$499,$100-$199,$100-$199,NA,"$5,000.00",0,$500-$999,NA,$20-$49,Day trip,Home,N/A
95,5-6 times,1-2 days,3,Female,55-64,80303,No,2 days,$1 - $20,0,0,0,0,0,$200-$499,0,NA,$50-$99,Live in Boulder,"Friends, family or no expense",NA
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
230,3-4 times,1-2 days,4,Male,45-54,80304,Yes,0,$50-$99,$50-$99,$50-$99,$50-$99,$1 - $20,0,$50-$99,NA,$200-$499,0,Resident,Hotel or motel,3
116,3-4 times,7-8 days,5,Female,45-54,93463,No,Zero,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,$200-$499,$100-$199,$200-$499,$50-$99,NA,Multiple day trips,NA,240
178,3-4 times,3-4 days,2,Female,25-34,80304,Yes,NA,$21-$49,0,0,$1 - $20,$200-$499,$21-$49,NA,0,$500-$999,$500-$999,Local,Home,NA
37,3-4 times,0,1,Male,45-54,93003,No,A few hours,0,0,0,0,0,0,$20-$49,$50-$99,$500-$999,$20-$49,Two nights,NA,280
147,20,1-2 days,1,Male,65-74,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,$100-$199,$20-$49,NA,NA,NA,"Friends, family or no expense",NA
236,5-6 times,3-4 days,5,Male,45-54,80303,NA,NA,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$2,000-$4,999",$20-$49,$1 - $20,$200-$499,Local,Home,240
13,20,0,2,Female,55-64,80303,NA,1 day,0,0,0,0,0,0,"$1,000-$1,999",$200-$499,$100-$199,$20-$49,Day trip,"Friends, family or no expense",125
254,20,1-2 days,11,Female,55-64,93454,Yes,-,$200-$499,$500-$999,$100-$199,$21-$49,$500-$999,$21-$49,$50-$99,0,0,$20-$49,Day trip,"Friends, family or no expense",280
260,20,3-4 days,20,Male,35-44,93111,No,1 day,$200-$499,NA,NA,0,$200-$499,$21-$49,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,"$2,000-$3,000",$200-$499,$1 - $20,$200-$499,$21-$49,0,$20-$49,$1 - $20,0,One night,NA,240
216,20,5-6 days,5,Female,45-54,80303,No,Home is here,$50-$99,$100-$199,$100-$199,$21-$49,0,$500-$999,$100-$199,$500-$999,$50-$99,NA,One night,Home,3
261,20,0,0,Male,35-44,80305,No,Home is here,$200-$499,"$1,000-$1,499",NA,"$2,000-$3,000","$1,000-$1,499","$5,000.00",0,0,0,$20-$49,I live here,"Friends, family or no expense",500
275,20,1-2 days,3,Female,65-74,80304,No,Live in area,"$1,000.00",$21-$49,$1 - $20,NA,$500-$999,NA,$50-$99,$500-$999,$20-$49,$20-$49,I live here,"Friends, family or no expense",NA
172,1-2 times,1-2 days,3,Female,25-34,80309,NA,A few hours,$21-$49,0,0,$1 - $20,0,0,"$2,000-$4,999",0,0,NA,Local resident,Home,240
236,5-6 times,3-4 days,5,Male,45-54,80303,NA,NA,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$2,000-$4,999",$20-$49,$1 - $20,$200-$499,Local,Home,240
147,20,1-2 days,1,Male,65-74,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,$100-$199,$20-$49,NA,NA,NA,"Friends, family or no expense",NA
124,20,7-8 days,3,Female,35-44,80309,No,Zero,$200-$499,0,$21-$49,$21-$49,0,$1 - $20,"$1,000-$1,999",$500-$999,0,$1 - $20,One night,Boulder Resident,200
24,1-2 times,0,0,Female,35-44,80303,No,1 day,0,0,0,0,0,0,$50-$99,$100-$199,$20-$49,$20-$49,Local,NA,N/A
279,1-2 times,1-2 days,4,Female,45-54,93111,No,I live here,NA,$21-$49,$500-$999,$500-$999,$500-$999,$100-$199,NA,$1 - $20,$1 - $20,$20-$49,Four nights,Boulder Resident,125
44,5-6 times,0,0,Male,35-44,80303,No,1 day,0,0,0,0,0,0,$100-$199,$50-$99,$50-$99,$50-$99,Day trip,Home,240
48,5-6 times,0,0,Male,55-64,80306,NA,Live in area,0,0,0,0,0,0,$20-$49,$50-$99,0,$200-$499,One night,Hotel or motel,240
62,20,1-2 days,3,Female,65-74,80304,Yes,Zero,$1 - $20,$50-$99,0,0,0,$21-$49,$100-$199,$500-$999,$100-$199,$20-$49,I live here,Hotel or motel,500
